Year,Teams,Attendance
1930,Argentina,49640.0
1930,Brazil,24762.5
1930,France,9951.0
1930,Uruguay,68992.5
1934,Argentina,14000.0
1934,Brazil,21000.0
1934,France,16000.0
1934,Germany,8250.0
1934,Italy,38600.0
1934,Netherlands,33000.0
1938,Brazil,19722.8
1938,France,44454.5
1938,Germany,23588.5
1938,Italy,38863.75
1938,Netherlands,11000.0
1950,Brazil,121936.33333333333
1950,Italy,31156.5
1950,Uruguay,57980.75
1954,Brazil,26035.666666666668
1954,France,17500.0
1954,Germany FR,39750.0
1954,Italy,32333.333333333332
1954,Uruguay,31900.0
1958,Argentina,20582.666666666668
1958,Brazil,35395.166666666664
1958,France,18945.333333333332
1958,Germany FR,30025.833333333332
1962,Argentina,8291.0
1962,Brazil,34518.5
1962,Germany FR,65227.5
1962,Italy,63775.0
1962,Uruguay,8903.333333333334
1966,Argentina,53009.0
1966,Brazil,52391.333333333336
1966,France,71056.33333333333
1966,Germany FR,50017.5
1966,Italy,24273.666666666668
1966,Uruguay,58482.25
1970,Brazil,63908.333333333336
1970,Germany FR,45621.833333333336
1970,Italy,48333.0
1970,Uruguay,41755.666666666664
1974,Argentina,46483.666666666664
1974,Brazil,55751.857142857145
1974,Germany FR,67140.71428571429
1974,Italy,64400.0
1974,Netherlands,59842.28571428572
1974,Uruguay,32266.666666666668
1978,Argentina,56886.857142857145
1978,Brazil,40058.57142857143
1978,France,45722.0
1978,Germany FR,46686.5
1978,Italy,58850.28571428572
1978,Netherlands,43057.42857142857
1982,Argentina,49318.6
1982,Brazil,49275.8
1982,France,39173.57142857143
1982,Germany FR,64298.42857142857
1982,Italy,43571.42857142857
1986,Argentina,75240.0
1986,Brazil,48949.6
1986,France,47780.0
1986,Germany FR,45371.42857142857
1986,Italy,54500.0
1986,Uruguay,25750.0
1990,Argentina,59457.857142857145
1990,Brazil,61129.5
1990,Germany FR,71797.28571428571
1990,Italy,68291.28571428571
1990,Netherlands,44100.5
1990,Uruguay,42953.5
1994,Argentina,65844.0
1994,Brazil,82196.57142857143
1994,Germany,64494.8
1994,Italy,68366.85714285714
1994,Netherlands,59671.0
1998,Argentina,39280.0
1998,Brazil,55071.42857142857
1998,France,62700.0
1998,Germany,36460.0
1998,Italy,54720.0
1998,Netherlands,50085.71428571428
2002,Argentina,38584.666666666664
2002,Brazil,46725.57142857143
2002,France,49650.0
2002,Germany,44565.0
2002,Italy,36358.0
2002,Uruguay,34042.333333333336
2006,Argentina,52896.0
2006,Brazil,63200.0
2006,France,52285.71428571428
2006,Germany,65428.57142857143
2006,Italy,52714.28571428572
2006,Netherlands,46000.0
2010,Argentina,65045.6
2010,Brazil,59156.0
2010,France,46295.0
2010,Germany,55167.0
2010,Italy,51503.333333333336
2010,Netherlands,65383.57142857143
2010,Uruguay,50504.28571428572
2014,Argentina,65031.181818181816
2014,Brazil,61819.90909090909
2014,France,64572.57142857143
2014,Germany,62979.555555555555
2014,Italy,39930.333333333336
2014,Netherlands,57876.36363636364
2014,Uruguay,61713.6
